"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(RealizedGainLHCP) []"
0.915,0,60,-1.87745461385896,-1.92738212924176
0.915,0,62,-2.06875098243041,-2.11867849781321
0.915,0,64,-2.26649915677,-2.31642667215281
0.915,0,66,-2.47085735223028,-2.52078486761308
0.915,0,68,-2.68199581757434,-2.73192333295714
0.915,0,70,-2.90009677263466,-2.95002428801746
0.915,0,72,-3.12535460554647,-3.17528212092927
0.915,0,74,-3.35797633207805,-3.40790384746086
0.915,0,76,-3.59818230829165,-3.64810982367445
0.915,0,78,-3.84620717793284,-3.89613469331564
0.915,0,80,-4.102301028071,-4.1522285434538
0.915,0,82,-4.36673072099248,-4.41665823637528
0.915,0,84,-4.6397813674494,-4.6897088828322
0.915,0,86,-4.92175790622011,-4.97168542160292
0.915,0,88,-5.21298675753075,-5.26291427291355
0.915,0,90,-5.51381752306959,-5.5637450384524
0.915,0,92,-5.82462471281532,-5.87455222819813
0.915,0,94,-6.14580948829486,-6.19573700367766
0.915,0,96,-6.47780142268835,-6.52772893807115
0.915,0,98,-6.82106028983102,-6.87098780521382
0.915,0,100,-7.17607790599778,-7.22600542138059
0.915,0,102,-7.54338005973994,-7.59330757512274
0.915,0,104,-7.92352857530913,-7.97345609069194
0.915,0,106,-8.31712356368239,-8.36705107906519
0.915,0,108,-8.72480592121306,-8.77473343659586
0.915,0,110,-9.14726013874674,-9.19718765412954
0.915,0,112,-9.58521748280908,-9.63514499819189
0.915,0,114,-10.0394596040963,-10.0893871194791
0.915,0,116,-10.5108226154322,-10.560750130815
0.915,0,118,-11.0002016592819,-11.0501291746647
0.915,0,120,-11.5085559502754,-11.5584834656582
0.915,0,122,-12.0369142254419,-12.0868417408247
0.915,0,124,-12.5863804553674,-12.6363079707502
0.915,0,126,-13.1581395497977,-13.2080670651805
0.915,0,128,-13.7534626104579,-13.8033901258407
0.915,0,130,-14.3737110096389,-14.4236385250217
0.915,0,132,-15.0203381552506,-15.0702656706334
0.915,0,134,-15.6948871638748,-15.7448146792577
0.915,0,136,-16.3989816829732,-16.448909198356
0.915,0,138,-17.1343055976889,-17.1842331130717
0.915,0,140,-17.9025650471255,-17.9524925625083
0.915,0,142,-18.7054226444605,-18.7553501598433
0.915,0,144,-19.5443884535951,-19.5943159689779
0.915,0,146,-20.4206443488757,-20.4705718642585
0.915,0,148,-21.3347670487955,-21.3846945641783
0.915,0,150,-22.2863000273168,-22.3362275426996
0.915,0,152,-23.2731073705441,-23.3230348859269
0.915,0,154,-24.2904310740962,-24.340358589479
0.915,0,156,-25.3295889398433,-25.3795164552261
0.915,0,158,-26.3763421934262,-26.426269708809
0.915,0,160,-27.4092163013263,-27.4591438167091
0.915,0,162,-28.3985625472418,-28.4484900626246
0.915,0,164,-29.3078135063241,-29.3577410217069
0.915,0,166,-30.0985935130926,-30.1485210284754
0.915,0,168,-30.7398930664564,-30.7898205818392
0.915,0,170,-31.2180430360282,-31.267970551411
0.915,0,172,-31.5415357481878,-31.5914632635706
0.915,0,174,-31.7370209720247,-31.7869484874075
0.915,0,176,-31.8389085401096,-31.8888360554924
0.915,0,178,-31.8784452194223,-31.9283727348051
0.915,0,180,-31.8762510989322,-31.926178614315
