"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal)_1 []"
0.915,0,-180,-15.4844198540568
0.915,0,-179,-16.5816609203422
0.915,0,-178,-15.2325932382052
0.915,0,-177,-13.6587277147921
0.915,0,-176,-12.9517945614715
0.915,0,-175,-12.844509883843
0.915,0,-174,-12.9002758332729
0.915,0,-173,-12.9902714784437
0.915,0,-172,-13.0441894321018
0.915,0,-171,-12.8197861261865
0.915,0,-170,-12.3954287963298
0.915,0,-169,-12.4030318911368
0.915,0,-168,-13.5836639137634
0.915,0,-167,-16.6904807282081
0.915,0,-166,-23.2353147111745
0.915,0,-165,-22.2096158876031
0.915,0,-164,-15.3608070318761
0.915,0,-163,-12.0777923257517
0.915,0,-162,-10.8475369026176
0.915,0,-161,-11.7389948616277
0.915,0,-160,-16.518975807032
0.915,0,-159,-19.5655054022407
0.915,0,-158,-13.1304931409356
0.915,0,-157,-12.3336380301096
0.915,0,-156,-14.9432220384331
0.915,0,-155,-14.5601780406233
0.915,0,-154,-11.7126640198625
0.915,0,-153,-11.0798244080989
0.915,0,-152,-12.0693282078429
0.915,0,-151,-12.6822664722323
0.915,0,-150,-13.5965191855578
0.915,0,-149,-17.049016226841
0.915,0,-148,-17.1990656769114
0.915,0,-147,-13.815862204132
0.915,0,-146,-14.4459289306872
0.915,0,-145,-17.6018598001537
0.915,0,-144,-13.7484085487389
0.915,0,-143,-10.5972470891469
0.915,0,-142,-9.71264258184879
0.915,0,-141,-9.64761607069693
0.915,0,-140,-10.0133544919635
0.915,0,-139,-10.9209575903207
0.915,0,-138,-10.4329297585831
0.915,0,-137,-8.89977348439638
0.915,0,-136,-8.55442933058849
0.915,0,-135,-8.83064985979424
0.915,0,-134,-8.3949659987773
0.915,0,-133,-8.29068211124403
0.915,0,-132,-9.34331702866227
0.915,0,-131,-10.5457332376727
0.915,0,-130,-11.035134429012
0.915,0,-129,-10.8762708427384
0.915,0,-128,-10.0230913695025
0.915,0,-127,-10.1295174926075
0.915,0,-126,-12.6768964178997
0.915,0,-125,-14.7509708761981
0.915,0,-124,-11.3794552685164
0.915,0,-123,-10.2124868433901
0.915,0,-122,-12.2844134206227
0.915,0,-121,-16.2628324640376
