"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal)_1 []"
0.915,0,-180,-19.0109738848968
0.915,0,-179,-19.5810486670012
0.915,0,-178,-19.0184285759827
0.915,0,-177,-20.2302313243968
0.915,0,-176,-25.3042422115331
0.915,0,-175,-21.5966244634868
0.915,0,-174,-14.6513768280871
0.915,0,-173,-10.8304191486262
0.915,0,-172,-8.58011008276472
0.915,0,-171,-7.15068890321379
0.915,0,-170,-6.20036994221116
0.915,0,-169,-5.76917851908143
0.915,0,-168,-6.20073819594998
0.915,0,-167,-7.97549319068715
0.915,0,-166,-10.9399329314397
0.915,0,-165,-10.326615041308
0.915,0,-164,-6.90838384422691
0.915,0,-163,-5.48107195851896
0.915,0,-162,-6.69964151190476
0.915,0,-161,-11.6263526681836
0.915,0,-160,-17.178993577583
0.915,0,-159,-9.75257502048635
0.915,0,-158,-7.26109763336811
0.915,0,-157,-8.46041688731642
0.915,0,-156,-13.3973151880774
0.915,0,-155,-15.7760825037059
0.915,0,-154,-11.9496240816554
0.915,0,-153,-11.5428718884882
0.915,0,-152,-14.3815801519651
0.915,0,-151,-20.7558148565344
0.915,0,-150,-28.5120445005707
0.915,0,-149,-24.1023011307073
0.915,0,-148,-20.4311145942423
0.915,0,-147,-19.3557970998058
0.915,0,-146,-22.4046554073608
0.915,0,-145,-25.842422325189
0.915,0,-144,-18.952601459093
0.915,0,-143,-17.1345288324179
0.915,0,-142,-18.2489065511775
0.915,0,-141,-19.7469585856831
0.915,0,-140,-19.2341012018648
0.915,0,-139,-18.3997376426838
0.915,0,-138,-18.4655165226007
0.915,0,-137,-17.8919187597439
0.915,0,-136,-17.2093506973075
0.915,0,-135,-16.9987629792977
0.915,0,-134,-15.7862035559804
0.915,0,-133,-14.6403260380066
0.915,0,-132,-14.8861071013165
0.915,0,-131,-16.0024952490948
0.915,0,-130,-16.65816247796
0.915,0,-129,-16.7797646061914
0.915,0,-128,-14.8833750741436
0.915,0,-127,-12.0864105164963
0.915,0,-126,-11.9688647305991
0.915,0,-125,-15.4216632948031
0.915,0,-124,-14.0039913051077
0.915,0,-123,-10.6686501209863
0.915,0,-122,-10.9043045738283
0.915,0,-121,-13.4562208594493
0.915,0,-120,-15.2944490786131
0.915,0,-119,-14.6070300150128
0.915,0,-118,-13.2266984063299
0.915,0,-117,-13.3580718547396
0.915,0,-116,-17.255051816819
0.915,0,-115,-24.2223574730407
0.915,0,-114,-17.6062792873367
0.915,0,-113,-18.0216515765527
0.915,0,-112,-24.7622386852882
0.915,0,-111,-18.6090460427862
0.915,0,-110,-16.2609243473394
0.915,0,-109,-18.6761440597768
0.915,0,-108,-24.1860803802122
0.915,0,-107,-24.2128042888943
0.915,0,-106,-24.5091918995799
0.915,0,-105,-24.5184541417666
