"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal)_1 []"
0.915,0,-180,-14.2384546976851
0.915,0,-179,-13.741424391708
0.915,0,-178,-13.3180647734244
0.915,0,-177,-12.9508456393904
0.915,0,-176,-12.6964876744563
0.915,0,-175,-12.7639398863897
0.915,0,-174,-13.2763492037926
0.915,0,-173,-14.1698966648594
0.915,0,-172,-15.1668395475176
0.915,0,-171,-15.6664438329948
0.915,0,-170,-15.4984052202843
0.915,0,-169,-15.5221199155625
0.915,0,-168,-16.3625441470825
0.915,0,-167,-17.9836963973396
0.915,0,-166,-20.9048566447336
0.915,0,-165,-25.5602635512597
0.915,0,-164,-19.7262453961058
0.915,0,-163,-14.801822963014
0.915,0,-162,-13.0907563800394
0.915,0,-161,-13.963613769862
0.915,0,-160,-17.4557647140368
0.915,0,-159,-20.142465828025
0.915,0,-158,-17.9891409516747
0.915,0,-157,-18.1205484022305
0.915,0,-156,-19.1881826707384
0.915,0,-155,-16.8126489737926
0.915,0,-154,-15.3341150863853
0.915,0,-153,-16.5246408649684
0.915,0,-152,-19.4873093752336
0.915,0,-151,-20.3946166944188
0.915,0,-150,-20.4761300873535
0.915,0,-149,-20.4986808681882
0.915,0,-148,-18.6007910449753
0.915,0,-147,-17.9703398282621
0.915,0,-146,-19.5430088474126
0.915,0,-145,-18.9310520725616
0.915,0,-144,-15.3472479085647
0.915,0,-143,-13.4681354585932
0.915,0,-142,-13.1587683136967
0.915,0,-141,-13.3751710233902
0.915,0,-140,-13.4930153233541
0.915,0,-139,-13.743997027652
0.915,0,-138,-14.0036390553326
0.915,0,-137,-13.4769712172516
0.915,0,-136,-12.6058869792617
0.915,0,-135,-12.0088871251639
0.915,0,-134,-11.1724674319296
0.915,0,-133,-10.2941090065853
0.915,0,-132,-10.253849386911
0.915,0,-131,-11.1111320089637
0.915,0,-130,-11.8763221116417
0.915,0,-129,-11.0935696731585
0.915,0,-128,-8.82985996985532
0.915,0,-127,-6.89215688381772
0.915,0,-126,-6.49544016810938
0.915,0,-125,-7.62268778726938
0.915,0,-124,-7.95364033629567
0.915,0,-123,-6.22496277098241
0.915,0,-122,-5.11665543979386
0.915,0,-121,-5.34909872138035
0.915,0,-120,-6.2326766880733
0.915,0,-119,-6.37455210478334
0.915,0,-118,-5.27973267159509
0.915,0,-117,-4.28508187507117
0.915,0,-116,-4.39282996951273
0.915,0,-115,-5.49821583836285
0.915,0,-114,-6.24223428171325
0.915,0,-113,-5.91383890967518
0.915,0,-112,-5.81752657782361
0.915,0,-111,-6.22769744745793
0.915,0,-110,-6.26228593683781
0.915,0,-109,-5.98580477783194
0.915,0,-108,-6.19062898190398
0.915,0,-107,-6.90342052646251
0.915,0,-106,-7.62644949214013
0.915,0,-105,-8.12668029523768
0.915,0,-104,-8.51888520945238
0.915,0,-103,-8.82433567252086
0.915,0,-102,-8.98490114046615
0.915,0,-101,-9.06899947197006
0.915,0,-100,-9.3487797996006
0.915,0,-99,-9.96426442054246
0.915,0,-98,-10.6130169393621
0.915,0,-97,-11.23170614251
