"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal)_1 []"
0.915,0,-180,-19.1450358636701
0.915,0,-179,-17.6013635466079
0.915,0,-178,-16.2058067901166
0.915,0,-177,-15.3454768110021
0.915,0,-176,-15.6565968755854
0.915,0,-175,-17.6380411793892
0.915,0,-174,-20.1422926918706
0.915,0,-173,-18.3113476577086
0.915,0,-172,-15.1845879044994
0.915,0,-171,-13.2506871447821
0.915,0,-170,-12.1196726761192
0.915,0,-169,-11.3842803057625
0.915,0,-168,-11.0996757234155
0.915,0,-167,-11.6284224295052
0.915,0,-166,-12.7574166651706
0.915,0,-165,-11.9370791155449
0.915,0,-164,-9.06889517052288
0.915,0,-163,-7.2450747707133
0.915,0,-162,-7.36305472002076
0.915,0,-161,-9.57711905307155
0.915,0,-160,-12.1385388015138
0.915,0,-159,-10.1883410688328
0.915,0,-158,-8.33791304581921
0.915,0,-157,-9.1311830912773
0.915,0,-156,-12.9217237395023
0.915,0,-155,-18.2965512309377
0.915,0,-154,-17.2145104984153
0.915,0,-153,-16.8402734535995
0.915,0,-152,-19.8538116353657
0.915,0,-151,-22.8811766976334
0.915,0,-150,-23.8721528010369
0.915,0,-149,-28.0360220853466
0.915,0,-148,-31.5419664792947
0.915,0,-147,-30.9175014820642
0.915,0,-146,-27.0485664464791
0.915,0,-145,-20.456612185072
0.915,0,-144,-17.0692855922185
0.915,0,-143,-16.0933464825427
0.915,0,-142,-15.3163061698857
0.915,0,-141,-13.8367858177429
0.915,0,-140,-13.238838824185
0.915,0,-139,-13.9132638224601
0.915,0,-138,-14.4319036258789
0.915,0,-137,-13.7200901118249
0.915,0,-136,-12.9543302619347
0.915,0,-135,-12.495011692762
0.915,0,-134,-11.9472361231454
0.915,0,-133,-11.7189309701617
0.915,0,-132,-12.1341407670121
0.915,0,-131,-13.1404780822283
0.915,0,-130,-14.3959260861094
0.915,0,-129,-13.3786618104628
0.915,0,-128,-10.7086834219428
0.915,0,-127,-9.25468262351309
0.915,0,-126,-9.40182845177353
0.915,0,-125,-10.228459221887
0.915,0,-124,-9.62864012501228
0.915,0,-123,-8.0879496308659
0.915,0,-122,-7.0622081951633
0.915,0,-121,-6.72323753580176
0.915,0,-120,-7.09801140203854
0.915,0,-119,-7.50614823461779
0.915,0,-118,-6.56386530431988
0.915,0,-117,-5.3812370272667
0.915,0,-116,-5.26964615469734
0.915,0,-115,-5.84612450212788
0.915,0,-114,-6.13426068359534
0.915,0,-113,-6.09366510842215
0.915,0,-112,-5.96210555670109
0.915,0,-111,-5.82179719562251
0.915,0,-110,-6.06895136564508
0.915,0,-109,-6.53127351629417
0.915,0,-108,-6.58743564226468
0.915,0,-107,-6.63564079213816
0.915,0,-106,-7.28536406060796
0.915,0,-105,-8.00971976747134
0.915,0,-104,-8.18496311337191
0.915,0,-103,-8.57133472134073
0.915,0,-102,-9.59282809581665
0.915,0,-101,-10.2956863067387
0.915,0,-100,-10.1728782768073
0.915,0,-99,-10.2327649025724
0.915,0,-98,-11.1098258012685
0.915,0,-97,-12.454430106561
0.915,0,-96,-12.7471967460648
0.915,0,-95,-11.9734895953963
0.915,0,-94,-11.8464036159404
0.915,0,-93,-12.6732105160901
0.915,0,-92,-13.1641927929653
0.915,0,-91,-12.6348122648269
0.915,0,-90,-12.7905719432129
0.915,0,-89,-13.6625603846678
0.915,0,-88,-12.1998638886666
0.915,0,-87,-10.2279342893856
0.915,0,-86,-10.0097218099885
0.915,0,-85,-10.2424709087091
0.915,0,-84,-8.96585702569757
0.915,0,-83,-7.83890982537711
0.915,0,-82,-7.7604748255526
0.915,0,-81,-7.42302011676307
0.915,0,-80,-6.24304787236824
0.915,0,-79,-5.43281807261543
0.915,0,-78,-5.30089043808697
0.915,0,-77,-5.3120107677192
0.915,0,-76,-4.85145161082412
0.915,0,-75,-3.71926651303674
0.915,0,-74,-2.71134256707702
0.915,0,-73,-2.39730504893152
0.915,0,-72,-2.0588795653843
0.915,0,-71,-1.12170012787045
0.915,0,-70,-0.527521885817182
0.915,0,-69,-0.583184017631789
0.915,0,-68,-0.437595080783401
0.915,0,-67,0.0886052732400318
0.915,0,-66,0.416293014369818
0.915,0,-65,0.492693213846994
0.915,0,-64,0.533367935620224
0.915,0,-63,0.93952212534996
0.915,0,-62,1.65598111382989
0.915,0,-61,1.74192995137524
0.915,0,-60,0.906159989711197
0.915,0,-59,0.48899046794688
0.915,0,-58,1.17046656212895
0.915,0,-57,1.47512705066566
0.915,0,-56,1.05338811198827
0.915,0,-55,0.610452373141213
0.915,0,-54,0.430827531097895
0.915,0,-53,0.320495780973077
0.915,0,-52,0.23396250759811
0.915,0,-51,0.148904152233806
0.915,0,-50,-0.0285144682361632
0.915,0,-49,-0.569575103948854
0.915,0,-48,-1.57566876047056
0.915,0,-47,-2.14596068357205
0.915,0,-46,-1.65481466119175
0.915,0,-45,-1.55164367109069
0.915,0,-44,-2.99536070173663
0.915,0,-43,-5.71985002246067
0.915,0,-42,-6.32191277453944
0.915,0,-41,-4.51191567219345
0.915,0,-40,-3.92765179689222
0.915,0,-39,-5.4268432273713
0.915,0,-38,-9.6155128247639
0.915,0,-37,-15.7291588455994
0.915,0,-36,-12.3546643046295
0.915,0,-35,-10.4295083067631
0.915,0,-34,-10.227750938719
0.915,0,-33,-6.09337214305731
0.915,0,-32,-1.73973165636418
0.915,0,-31,0.877749439507979
0.915,0,-30,2.50263884217565
0.915,0,-29,4.05600816622129
0.915,0,-28,5.79071535268203
0.915,0,-27,7.31538306496948
0.915,0,-26,8.35528777969573
0.915,0,-25,8.96040929798544
0.915,0,-24,9.34715424134687
0.915,0,-23,9.69540017988015
0.915,0,-22,10.0551111032222
0.915,0,-21,10.4285483794678
0.915,0,-20,10.8172574207798
0.915,0,-19,11.1518929087612
0.915,0,-18,11.2962978527873
0.915,0,-17,11.1590039948807
0.915,0,-16,10.7653626369531
0.915,0,-15,10.2275010476059
0.915,0,-14,9.63963241858528
0.915,0,-13,9.00485042405912
0.915,0,-12,8.2855363136407
0.915,0,-11,7.49637700278289
0.915,0,-10,6.71906009359003
0.915,0,-9,6.03523732371103
0.915,0,-8,5.45684409461538
0.915,0,-7,4.91838020770509
0.915,0,-6,4.31196103104194
0.915,0,-5,3.51905305942499
0.915,0,-4,2.42764619081731
0.915,0,-3,0.941101295950086
0.915,0,-2,-1.01122828446028
0.915,0,-1,-3.46050000512268
0.915,0,0,-6.3541468438128
0.915,0,1,-8.73974156164769
0.915,0,2,-7.12473116053229
0.915,0,3,-3.00181808033742
0.915,0,4,0.576780564430871
0.915,0,5,3.29767039815812
0.915,0,6,5.36054425863183
0.915,0,7,6.98693520309353
0.915,0,8,8.35943316098979
0.915,0,9,9.57200295435204
0.915,0,10,10.6153590563089
0.915,0,11,11.4369331749059
0.915,0,12,12.012513621029
0.915,0,13,12.3652287047072
0.915,0,14,12.5375832895352
0.915,0,15,12.559063779724
0.915,0,16,12.4469706593891
0.915,0,17,12.2354370574297
0.915,0,18,11.9878133166219
0.915,0,19,11.76247984714
0.915,0,20,11.5603975318326
0.915,0,21,11.3127498559578
0.915,0,22,10.9199557731137
0.915,0,23,10.3062271258323
0.915,0,24,9.46128469750642
0.915,0,25,8.44874952809027
0.915,0,26,7.37258636751004
0.915,0,27,6.34543995971225
0.915,0,28,5.47915015431254
0.915,0,29,4.79099062036381
0.915,0,30,4.08806652398246
0.915,0,31,3.09831915721311
0.915,0,32,1.74961047659169
0.915,0,33,0.322816077594414
0.915,0,34,-0.804692298715552
0.915,0,35,-1.60251615292782
0.915,0,36,-2.15893200389227
0.915,0,37,-2.73446704331193
0.915,0,38,-4.11882758635873
0.915,0,39,-7.317017517827
0.915,0,40,-13.6178927761162
0.915,0,41,-20.7201761725396
0.915,0,42,-14.3429784488599
0.915,0,43,-10.5744861743625
0.915,0,44,-8.77176118364235
0.915,0,45,-6.54511797959262
0.915,0,46,-3.55030508365529
0.915,0,47,-1.34422451424878
0.915,0,48,-0.189545261052007
