"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal)_1 []"
0.915,0,-180,-22.1038780739762
0.915,0,-179,-20.5930343391213
0.915,0,-178,-19.2152500925844
0.915,0,-177,-17.9626723070797
0.915,0,-176,-17.4294043449166
0.915,0,-175,-17.7021849911122
0.915,0,-174,-17.5171036921439
0.915,0,-173,-15.9534422436462
0.915,0,-172,-14.1790183278222
0.915,0,-171,-12.8402504060934
0.915,0,-170,-11.8333931199003
0.915,0,-169,-11.1391827625919
0.915,0,-168,-11.0367320572365
0.915,0,-167,-11.8901320343777
0.915,0,-166,-13.3023867495374
0.915,0,-165,-12.3365703737073
0.915,0,-164,-9.4372573260823
0.915,0,-163,-7.7907138565528
0.915,0,-162,-8.13880050659335
0.915,0,-161,-10.6418196302842
0.915,0,-160,-13.6593493843257
0.915,0,-159,-11.6690306902455
0.915,0,-158,-9.62623662395908
0.915,0,-157,-10.2400025533678
0.915,0,-156,-13.7554471555398
0.915,0,-155,-19.5808942029111
0.915,0,-154,-20.2640031056152
0.915,0,-153,-19.5559921277386
0.915,0,-152,-21.549439327673
0.915,0,-151,-24.2359016811991
0.915,0,-150,-26.743665697048
0.915,0,-149,-29.1600208854207
0.915,0,-148,-28.4637854417228
0.915,0,-147,-27.7156041085221
0.915,0,-146,-24.0471138531548
0.915,0,-145,-19.3459339305695
0.915,0,-144,-16.9489754200205
0.915,0,-143,-16.7000542683449
0.915,0,-142,-16.5523701850398
0.915,0,-141,-15.1887390462966
0.915,0,-140,-14.4091535281326
0.915,0,-139,-14.9438513304138
0.915,0,-138,-15.587544599296
0.915,0,-137,-14.9009011237705
0.915,0,-136,-13.8924431567886
0.915,0,-135,-13.0989388420012
0.915,0,-134,-12.2949314592958
0.915,0,-133,-11.8537728437447
0.915,0,-132,-11.8483200897301
0.915,0,-131,-12.2190406593486
0.915,0,-130,-12.9981929603577
0.915,0,-129,-12.2687927076923
0.915,0,-128,-9.72828626333284
0.915,0,-127,-8.08389509215899
0.915,0,-126,-7.96262252432905
0.915,0,-125,-8.41441878564547
0.915,0,-124,-7.80737988087009
0.915,0,-123,-6.64702007431024
0.915,0,-122,-5.90059156332763
0.915,0,-121,-5.66880059264584
0.915,0,-120,-6.02435846587994
0.915,0,-119,-6.35486771005115
0.915,0,-118,-5.53123409770167
0.915,0,-117,-4.57205352531565
0.915,0,-116,-4.63301831486941
0.915,0,-115,-5.35279982665523
0.915,0,-114,-5.77159184911278
0.915,0,-113,-5.79633682879329
0.915,0,-112,-5.63389789573819
0.915,0,-111,-5.41595250730415
0.915,0,-110,-5.60758540587769
0.915,0,-109,-6.14881266606221
0.915,0,-108,-6.41732263538643
0.915,0,-107,-6.58623401853919
0.915,0,-106,-7.27667009290175
0.915,0,-105,-8.14320084996971
0.915,0,-104,-8.48361802284286
0.915,0,-103,-8.82314552892173
0.915,0,-102,-9.64915755732583
0.915,0,-101,-10.2754141130803
0.915,0,-100,-10.2388952421339
0.915,0,-99,-10.347421351031
0.915,0,-98,-11.3613335063636
0.915,0,-97,-13.1011463704977
0.915,0,-96,-13.4527638530623
0.915,0,-95,-12.1889412919256
0.915,0,-94,-11.7625660593019
0.915,0,-93,-12.6631111618334
0.915,0,-92,-13.7680219183661
0.915,0,-91,-13.8061582764958
0.915,0,-90,-14.0333239068939
0.915,0,-89,-14.6435475407017
0.915,0,-88,-12.7341313646658
0.915,0,-87,-10.4651492569803
0.915,0,-86,-10.0375398610894
0.915,0,-85,-10.5013812868827
0.915,0,-84,-9.75656744883595
0.915,0,-83,-8.5552872710001
0.915,0,-82,-7.88190556286185
0.915,0,-81,-7.06020604106607
0.915,0,-80,-6.06529199811989
0.915,0,-79,-5.48144386131921
0.915,0,-78,-5.20000838445473
0.915,0,-77,-5.02661872414228
0.915,0,-76,-4.70551219844158
0.915,0,-75,-3.60604183035778
0.915,0,-74,-2.43290165895299
0.915,0,-73,-2.04730816639804
0.915,0,-72,-1.71309715544352
0.915,0,-71,-0.692344997316096
0.915,0,-70,0.00655150322453474
0.915,0,-69,0.00876104232454555
0.915,0,-68,0.132818287776352
0.915,0,-67,0.625849086055076
0.915,0,-66,1.08983056923511
0.915,0,-65,1.44755572396195
0.915,0,-64,1.60147794375301
0.915,0,-63,1.85273366002523
0.915,0,-62,2.52478789984985
0.915,0,-61,2.84006728130658
0.915,0,-60,2.334132031936
0.915,0,-59,1.94172303159691
0.915,0,-58,2.33527617366737
0.915,0,-57,2.5583606692164
0.915,0,-56,2.31706397650492
0.915,0,-55,2.08453396132517
0.915,0,-54,1.89308144563362
0.915,0,-53,1.58751336884736
0.915,0,-52,1.30997031709688
0.915,0,-51,1.15497345421736
0.915,0,-50,1.01371103062958
0.915,0,-49,0.524297213353775
0.915,0,-48,-0.704365298065109
0.915,0,-47,-2.21901140759981
0.915,0,-46,-2.55208727963689
0.915,0,-45,-2.38897744141117
0.915,0,-44,-3.62441513829286
0.915,0,-43,-7.03689999640576
0.915,0,-42,-10.4294804442188
0.915,0,-41,-8.62009086353034
0.915,0,-40,-7.37819152860132
0.915,0,-39,-8.73511592172366
0.915,0,-38,-13.6038156165027
0.915,0,-37,-16.3744344009517
0.915,0,-36,-10.0658965598702
0.915,0,-35,-7.87371122544455
0.915,0,-34,-8.0343378547199
0.915,0,-33,-6.63256562883307
0.915,0,-32,-3.33391989494059
0.915,0,-31,-1.0549986426651
0.915,0,-30,0.298179147619255
0.915,0,-29,1.80236493911422
0.915,0,-28,3.74520516005457
0.915,0,-27,5.50118313615453
0.915,0,-26,6.71603121070122
0.915,0,-25,7.48332196610036
0.915,0,-24,8.04973707130991
0.915,0,-23,8.55714313145042
0.915,0,-22,9.01643692302538
0.915,0,-21,9.46767698144342
0.915,0,-20,9.97037900333854
0.915,0,-19,10.4399980444701
0.915,0,-18,10.6827419621678
0.915,0,-17,10.5858824537843
0.915,0,-16,10.2019774311655
0.915,0,-15,9.6842761835016
0.915,0,-14,9.13493912234454
0.915,0,-13,8.52091728044509
0.915,0,-12,7.76117517102829
0.915,0,-11,6.83863060472317
0.915,0,-10,5.80258224122405
0.915,0,-9,4.70402971677626
0.915,0,-8,3.55992801697084
0.915,0,-7,2.37224088268009
0.915,0,-6,1.14424432798771
0.915,0,-5,-0.140677245765008
0.915,0,-4,-1.5285399277324
0.915,0,-3,-3.0060860490656
0.915,0,-2,-4.30163352834815
0.915,0,-1,-4.940240807156
0.915,0,0,-4.93650099704323
0.915,0,1,-4.72413956615203
0.915,0,2,-4.11980476240307
0.915,0,3,-2.46866166435698
0.915,0,4,-0.0291839588213379
0.915,0,5,2.40987285188819
0.915,0,6,4.50443439824853
0.915,0,7,6.25788081903338
0.915,0,8,7.77792382459461
0.915,0,9,9.14009005093099
0.915,0,10,10.3341405239174
0.915,0,11,11.3046426006132
0.915,0,12,12.0224714731874
0.915,0,13,12.5112875695184
0.915,0,14,12.8229020303023
0.915,0,15,13.000062391303
0.915,0,16,13.0671195285188
0.915,0,17,13.05043902927
0.915,0,18,12.988663646381
0.915,0,19,12.907567693551
0.915,0,20,12.7878546899256
0.915,0,21,12.5681353761025
0.915,0,22,12.1804243906293
0.915,0,23,11.5887271387654
0.915,0,24,10.811489557474
0.915,0,25,9.9087931023207
0.915,0,26,8.9336440944964
0.915,0,27,7.90724569603781
0.915,0,28,6.84200535517058
0.915,0,29,5.71278289221958
0.915,0,30,4.38965202340998
0.915,0,31,2.73141163154573
0.915,0,32,0.83504120727971
0.915,0,33,-0.888535634365028
0.915,0,34,-2.21529869772176
0.915,0,35,-3.38584682588878
0.915,0,36,-4.43688826106698
0.915,0,37,-5.23472541708344
0.915,0,38,-6.16641888574823
0.915,0,39,-7.85014676082673
0.915,0,40,-10.40149925705
0.915,0,41,-12.6199335212048
0.915,0,42,-12.7342313859159
0.915,0,43,-11.8828621846847
0.915,0,44,-10.7693078030933
0.915,0,45,-7.98984089108836
0.915,0,46,-4.91671155315602
0.915,0,47,-3.05579237512169
0.915,0,48,-2.29127564476736
0.915,0,49,-2.05815783940583
0.915,0,50,-1.84958883405297
0.915,0,51,-1.15493322184607
0.915,0,52,-0.0770358780498577
0.915,0,53,0.587239623451297
0.915,0,54,0.587416244869652
0.915,0,55,0.367720177912778
0.915,0,56,0.336779527300083
0.915,0,57,0.586162502174707
0.915,0,58,0.936060324539944
0.915,0,59,0.839899872887809
0.915,0,60,0.229975345323223
0.915,0,61,-0.0766913421516184
0.915,0,62,0.0345306071586637
0.915,0,63,-0.146983243165295
0.915,0,64,-0.519674289398779
0.915,0,65,-0.886121137580508
0.915,0,66,-1.44029580627943
0.915,0,67,-1.63675532598999
0.915,0,68,-1.36316998088923
0.915,0,69,-1.65474047591832
0.915,0,70,-2.55288987796847
0.915,0,71,-3.10637230106516
0.915,0,72,-3.46636289352407
0.915,0,73,-4.25235027567013
0.915,0,74,-4.88938003479685
0.915,0,75,-5.05076603504425
0.915,0,76,-5.37974108315745
0.915,0,77,-5.89449432100252
0.915,0,78,-6.33684084008729
0.915,0,79,-6.8576645581801
0.915,0,80,-7.3056431548364
0.915,0,81,-7.45939111626305
0.915,0,82,-7.80226213326038
0.915,0,83,-8.621978045525
0.915,0,84,-9.3028312834203
0.915,0,85,-9.50443457910526
0.915,0,86,-10.0503445665766
0.915,0,87,-11.2301496886118
0.915,0,88,-11.798663443941
0.915,0,89,-11.4402094840967
0.915,0,90,-11.7816088794376
0.915,0,91,-12.5863169751565
0.915,0,92,-11.8653038707517
0.915,0,93,-11.0329618757837
0.915,0,94,-11.8363907468682
