"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal)_1 []"
0.915,0,-180,-20.7968811998109
0.915,0,-179,-20.3084344736436
0.915,0,-178,-19.9407575894965
0.915,0,-177,-19.3098580247829
0.915,0,-176,-18.7363284118708
0.915,0,-175,-18.0876337426173
0.915,0,-174,-16.41642527256
0.915,0,-173,-14.1741982656917
0.915,0,-172,-12.3300566740099
0.915,0,-171,-10.9902113386615
0.915,0,-170,-9.94528075181269
0.915,0,-169,-9.23636013779722
0.915,0,-168,-9.2348436301873
0.915,0,-167,-10.391968256589
0.915,0,-166,-12.3548356720899
0.915,0,-165,-11.3339608517928
0.915,0,-164,-8.06631555244706
0.915,0,-163,-6.36294478331311
0.915,0,-162,-6.84674932442225
0.915,0,-161,-9.81596464038919
0.915,0,-160,-13.6522619490796
0.915,0,-159,-10.509187542546
0.915,0,-158,-8.00905546839234
0.915,0,-157,-8.65128024545322
0.915,0,-156,-12.6656145794836
0.915,0,-155,-19.1824978924129
0.915,0,-154,-16.8578315200092
0.915,0,-153,-15.5577098553574
0.915,0,-152,-17.9648266440086
0.915,0,-151,-23.1902991344919
0.915,0,-150,-27.6362781842102
0.915,0,-149,-28.6248966691752
0.915,0,-148,-26.9150804414747
0.915,0,-147,-25.5994614963954
0.915,0,-146,-24.7872800183373
0.915,0,-145,-20.3850357701961
0.915,0,-144,-17.4839279351919
0.915,0,-143,-17.8509159041803
0.915,0,-142,-19.0643844592285
0.915,0,-141,-17.187142300695
0.915,0,-140,-15.8286142034542
0.915,0,-139,-16.3790306788763
0.915,0,-138,-16.6954845139701
0.915,0,-137,-15.2997285261071
0.915,0,-136,-14.2427268024138
0.915,0,-135,-13.5281399368343
0.915,0,-134,-12.6887968557794
0.915,0,-133,-12.4996467952562
0.915,0,-132,-12.8191134576454
0.915,0,-131,-13.157361269293
0.915,0,-130,-13.7932813736565
0.915,0,-129,-12.9265628325744
0.915,0,-128,-10.4499375156738
0.915,0,-127,-9.15324014783006
0.915,0,-126,-9.5143541377095
0.915,0,-125,-9.96204658649068
0.915,0,-124,-8.66807638793901
0.915,0,-123,-7.47146638498428
0.915,0,-122,-7.12611351514185
0.915,0,-121,-7.03659709495733
0.915,0,-120,-7.25084197746947
0.915,0,-119,-7.50000995191171
